Előadó,Cím,Streams
The Weeknd - Blinding Lights,,5127200420
Ed Sheeran - Shape of You,,4634534735
The Weeknd - Starboy,,4192660373
The Neighbourhood - Sweater Weather,,4157652139
Lewis Capaldi - Someone You Loved,,4121089195
Harry Styles - As It Was,,4109827345
Post Malone - Sunflower,,4015958191
Drake - One Dance,,3867940565
The Kid LAROI - STAY,,3715562105
Ed Sheeran - Perfect,,3701102843
Imagine Dragons - Believer,,3640867577
Glass Animals - Heat Waves,,3573556402
Billie Eilish - lovely,,3530781298
The Chainsmokers - Closer,,3477235046
James Arthur - Say You Won't Let Go,,3452805810
Arctic Monkeys - I Wanna Be Yours,,3410515271
Lord Huron - The Night We Met,,3407874441
The Chainsmokers - Something Just Like This,,3403142955
Coldplay - Yellow,,3398665673
Vance Joy - Riptide,,3363782431
Tones And I - Dance Monkey,,3349910820
Tom Odell - Another Love,,3299944495
Post Malone - rockstar,,3275342382
Hozier - Take Me To Church,,3244152933
OneRepublic - Counting Stars,,3213622777
Billie Eilish - BIRDS OF A FEATHER,,3199779512
Ed Sheeran - Photograph,,3176499807
Shawn Mendes - Señorita,,3162911224
Lady Gaga - Die With A Smile,,3137297068
Taylor Swift - Cruel Summer,,3136631170
Harry Styles - Watermelon Sugar,,3132950554
Macklemore - Can't Hold Us,,3095571726
Dua Lipa - Don’t Start Now,,3078945359
Coldplay - Viva La Vida,,3044854433
The Weeknd - Die For You,,3024847193
The Police - Every Breath You Take,,3008561642
Juice WRLD - Lucid Dreams,,3004813996
Post Malone - Circles,,2992566626
Travis Scott - goosebumps,,2988848418
Bruno Mars - Just the Way You Are,,2983248460
Queen - Bohemian Rhapsody,,2963639365
Justin Bieber - Love Yourself,,2953805404
Ed Sheeran - Thinking out Loud,,2943726835
Lady Gaga - Shallow,,2931549564
Drake - God's Plan,,2910487510
Avicii - Wake Me Up,,2908191801
John Legend - All Of Me,,2903455074
Bruno Mars - Locked Out of Heaven,,2886467821
Imagine Dragons - Thunder,,2870270635
Bruno Mars - When I Was Your Man,,2870121219
Linkin Park - In the End,,2867658221
The Goo Goo Dolls - Iris,,2863623121
The Killers - Mr. Brightside,,2859972257
Imagine Dragons - Demons,,2851144285
Bruno Mars - That's What I Like,,2846933754
The Weeknd - The Hills,,2842435141
Eminem - Without Me,,2839835901
Billie Eilish - bad guy,,2825557493
Twenty One Pilots - Stressed Out,,2815902567
Kendrick Lamar - HUMBLE.,,2778196817
Arctic Monkeys - Do I Wanna Know?,,2773483102
J. Cole - No Role Modelz,,2731378348
DJ Snake - Let Me Love You,,2720090734
Eminem - Lose Yourself,,2717945869
Miley Cyrus - Flowers,,2702203622
Passenger - Let Her Go,,2691419751
Kendrick Lamar - All The Stars,,2690092200
French Montana - Unforgettable,,2687340750
John Legend - All of Me,,2685519206
"Tyler, The Creator - See You Again",,2670309222
Shawn Mendes - Treat You Better,,2665444088
Olivia Rodrigo - drivers license,,2659953541
Ariana Grande - 7 rings,,2657990042
SZA - Kill Bill,,2646473428
Nirvana - Smells Like Teen Spirit,,2635760255
Journey - Don't Stop Believin',,2630033357
Jung Kook - Seven,,2628829983
Sabrina Carpenter - Espresso,,2627637101
Justin Bieber - Sorry,,2622407248
Coldplay - The Scientist,,2616203281
Shawn Mendes - There's Nothing Holdin' Me Back,,2603325006
Benson Boone - Beautiful Things,,2578947272
Calvin Harris - One Kiss,,2570224184
Oasis - Wonderwall,,2554806731
Elton John - Cold Heart,,2540568641
a-ha - Take on Me,,2538662917
Olivia Rodrigo - good 4 u,,2531897740
The Weeknd - Save Your Tears,,2528473758
Arctic Monkeys - 505,,2516194266
Dream Supplier - Clean Baby Sleep White Noise (Loopable),,2513620214
Marshmello - Happier,,2506848731
Radiohead - Creep,,2499848877
Linkin Park - Numb,,2491449294
Travis Scott - SICKO MODE,,2481323359
Queen - Don't Stop Me Now,,2480755285
Major Lazer - Lean On,,2480125510
Mark Ronson - Uptown Funk,,2477750779
Guns N' Roses - Sweet Child O' Mine,,2474127974
XXXTENTACION - SAD!,,2453190546
Dua Lipa - Levitating,,2450431884
Adele - Someone Like You,,2448317400
DJ Snake - Let Me Love You,,2446999783
Dua Lipa - New Rules,,2434133006
XXXTENTACION - Jocelyn Flores,,2433473297
Maroon 5 - Payphone,,2431364291
Lil Uzi Vert - XO Tour Llif3,,2424907328
Sam Smith - Too Good At Goodbyes,,2411070617
Sam Smith - Stay With Me,,2403867797
Fleetwood Mac - Dreams,,2394207095
Michael Jackson - Billie Jean,,2386802203
Camila Cabello - Havana,,2377225900
Maroon 5 - Memories,,2373967064
Halsey - Without Me,,2368900413
Charlie Puth - We Don't Talk Anymore,,2362008016
TOTO - Africa,,2361774754
Eminem - Till I Collapse,,2352611733
Journey - Don't Stop Believin',,2352404709
One Direction - Night Changes,,2351805649
Lukas Graham - 7 Years,,2348159022
Billie Eilish - when the party's over,,2345420834
Sam Smith - I'm Not The Only One,,2329676885
Shawn Mendes - Stitches,,2329115286
Lewis Capaldi - Before You Go,,2328135456
Bad Bunny - DÁKITI,,2324305674
Foster The People - Pumped Up Kicks,,2322483192
Eminem - The Real Slim Shady,,2306513934
Adele - Easy On Me,,2302120446
Oasis - Wonderwall,,2292685883
Queen - Another One Bites The Dust,,2292375504
Manuel Turizo - La Bachata,,2290082621
Coolio - Gangsta's Paradise,,2288181739
Jung Kook - Seven,,2285910496
Jason Mraz - I'm Yours,,2281144893
Tears For Fears - Everybody Wants To Rule The World,,2280791109
Eminem - Mockingbird,,2280478974
Don Omar - Danza Kuduro,,2280332570
Alan Walker - Faded,,2273789495
J Balvin - LA CANCIÓN,,2268564053
Mike Posner - I Took A Pill In Ibiza,,2268436217
Keane - Somewhere Only We Know,,2266795312
Calvin Harris - We Found Love,,2265799987
Gotye - Somebody That I Used To Know,,2265262272
The Weeknd - Call Out My Name,,2258396403
Wiz Khalifa - See You Again,,2258313178
Roddy Ricch - The Box,,2255205978
Taylor Swift - Blank Space,,2253864986
The Weeknd - One Of The Girls,,2252896101
Doja Cat - Kiss Me More,,2250697574
Adele - Rolling in the Deep,,2250106177
Charlie Puth - Attention,,2248399842
David Guetta - I'm Good (Blue),,2245387912
Lil Nas X - INDUSTRY BABY,,2241803377
Shakira - Hips Don't Lie,,2239801746
Post Malone - Congratulations,,2238922665
Avicii - The Nights,,2238743060
The Chainsmokers - Don't Let Me Down,,2235837600
XXXTENTACION - Moonlight,,2233229306
Danny Ocean - Me Rehúso,,2224126278
Mariah Carey - All I Want for Christmas Is You,,2221952744
Maroon 5 - Maps,,2215211903
Imagine Dragons - Radioactive,,2206201205
WALK THE MOON - Shut Up and Dance,,2198353270
Arctic Monkeys - Why'd You Only Call Me When You're High?,,2189765688
Maroon 5 - Sugar,,2186404842
Creedence Clearwater Revival - Have You Ever Seen The Rain,,2184684185
Conan Gray - Heather,,2179211102
Lucenzo - Vem Dancar Kuduro,,2176828030
Post Malone - Better Now,,2175391545
Tame Impala - The Less I Know The Better,,2162522824
Coldplay - A Sky Full of Stars,,2161224935
Lauv - I Like Me Better,,2160052361
"Earth, Wind & Fire - September",,2157860949
Adele - Set Fire to the Rain,,2154734706
Teddy Swims - Lose Control,,2154021152
Maroon 5 - Payphone,,2152397745
OneRepublic - I Ain't Worried,,2151081166
BTS - Dynamite,,2150903656
Bad Bunny - Me Porto Bonito,,2148557216
Ruth B. - Dandelions,,2148391988
Travis Scott - HIGHEST IN THE ROOM,,2147773556
The Walters - I Love You So,,2145563222
Cigarettes After Sex - Apocalypse,,2134289831
Calvin Harris - This Is What You Came For,,2132599569
Sia - Chandelier,,2122469807
"Ariana Grande - thank u, next",,2122305763
Olivia Rodrigo - traitor,,2119673287
Lil Nas X - MONTERO (Call Me By Your Name),,2114292438
SAINt JHN - Roses (Imanbek Remix),,2112397013
ROSÉ - APT.,,2112264787
Jimin - Who,,2108874618
24kGoldn - Mood,,2108061317
Twenty One Pilots - Heathens,,2105707442
Twenty One Pilots - Ride,,2104811869
AC/DC - Highway to Hell,,2101285964
Christina Perri - a thousand years,,2100694200
Olivia Rodrigo - deja vu,,2095387817
David Guetta - Titanium,,2093247201
Lana Del Rey - Summertime Sadness,,2093184800
ZAYN - Dusk Till Dawn,,2092865704
Justin Bieber - Ghost,,2084135015
The Weeknd - I Feel It Coming,,2082054196
Ed Sheeran - I Don't Care,,2079917689
One Direction - Night Changes,,2079619447
Alec Benjamin - Let Me Down Slowly,,2078224748
Gorillaz - Feel Good Inc.,,2075718152
Bon Jovi - Livin' On A Prayer,,2070963249
Dean Lewis - Be Alright,,2068868914
5 Seconds of Summer - Youngblood,,2061093642
The Weeknd - Can't Feel My Face,,2058327181
Kendrick Lamar - Money Trees,,2055956628
The White Stripes - Seven Nation Army,,2055881626
Ed Sheeran - Bad Habits,,2049024000
Tate McRae - greedy,,2045267486
Sia - Cheap Thrills,,2044729010
OMI - Cheerleader (Felix Jaehn Remix),,2043228420
Måneskin - Beggin',,2040123167
XXXTENTACION - Fuck Love,,2040029671
Rihanna - Umbrella,,2033781899
Eagles - Hotel California,,2032098788
Miley Cyrus - Party In The U.S.A.,,2029443652
Drake - Passionfruit,,2027338957
Luis Fonsi - Despacito,,2026405065
AC/DC - Thunderstruck,,2024985949
Juice WRLD - All Girls Are The Same,,2023336128
benny blanco - Eastside,,2019743188
The Weeknd - Save Your Tears (Remix),,2018939863
The Weeknd - Earned It (Fifty Shades Of Grey),,2017871425
Queen - Under Pressure,,2015425557
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),,2012315025
Doja Cat - Woman,,2006824106
Eminem - Love The Way You Lie,,2006167088
